asin,title,imgUrl,productURL,stars,reviews,price,listPrice,category,isBestSeller,boughtInLastMonth
B0C4F8XGK9,VSDISPLAY 9.7 Inch IPS LCD Screen 2048x1536 9.7'' LP097QX1/LTL097QL01/HQ097QX1 with Type-C Mini HD-MI LCD Controller Board VS-RTD2556HC-V2,https://m.media-amazon.com/images/I/61iWeNzBxNL._AC_UL320_.jpg,https://www.amazon.com/dp/B0C4F8XGK9,2.3,3,65,69.99,Computer Monitors,FALSE,0
B09M8QTKDB,"LCD MONITORS V7 L238IPS-N 23.8"" Full HD LED 16:9 - Black",https://m.media-amazon.com/images/I/71vw4cMfvgL._AC_UL320_.jpg,https://www.amazon.com/dp/B09M8QTKDB,0,0,115.34,0,Computer Monitors,FALSE,0
B07Z4JBDCD,EBESTPANEL 349896-A01/349896-A02 New Inverter PF700 Series Drive Board,https://m.media-amazon.com/images/I/61gW5FIBsaL._AC_UL320_.jpg,https://www.amazon.com/dp/B07Z4JBDCD,0,0,225,0,Computer Monitors,FALSE,0
B081D7FHR1,E Mishan & Sons Inc Light MAG/Port/MNT 200LM,https://m.media-amazon.com/images/I/41PXitTF44S._AC_UL320_.jpg,https://www.amazon.com/dp/B081D7FHR1,0,0,18.99,0,Computer Monitors,FALSE,0
B094CCLN9X,LCDOLED Compatible with NV156FHM-N4T NV156FHM-N4L N156HCA-E5A B156HAN02.5 NV156FHM-N4H 15.6 inches FullHD 1920x1080 IPS LCD Display Screen Panel Replacement,https://m.media-amazon.com/images/I/61jVlMfW+SL._AC_UL320_.jpg,https://www.amazon.com/dp/B094CCLN9X,5,1,69.99,0,Computer Monitors,FALSE,0
B0CBV382YN,"CopGain P1M 14'' Portable Monitor for Laptop Screen Extender for 16.2'' MacBook, Designed for MacBook Screen Extender FHD 1080P IPS Display Plug and Play",https://m.media-amazon.com/images/I/81KEvtUb8PL._AC_UL320_.jpg,https://www.amazon.com/dp/B0CBV382YN,4.6,5,279,0,Computer Monitors,FALSE,0
B0BYFQTR42,"WOWNOVA Computer Hardware Temp Sensor Panel 8.8"" Monitor, PC Temperature Display, HD LCD Screen for PC Case Accessories Gaming Secondary Monitor, Compatible with Windows RPi (No-Touch)",https://m.media-amazon.com/images/I/41HjjmLPlHL._AC_UL320_.jpg,https://www.amazon.com/dp/B0BYFQTR42,2.7,3,119.99,0,Computer Monitors,FALSE,0
B08FJ27T5Z,"VSDISPLAY 10.3"" 10.3 Inch 1920x720 850nit LCD Screen HSD103KPW2-A10 with HD-MI USB SD LCD Controller Board,Multimedia supports MP4",https://m.media-amazon.com/images/I/61WKFhSeoqL._AC_UL320_.jpg,https://www.amazon.com/dp/B08FJ27T5Z,2.6,4,119.99,129.99,Computer Monitors,FALSE,0
B0B2QW89DR,"Vbestlife 7Inch Touchscreen Monitor for Raspberry Pi, Ultra HD 1024x600 Portable HDMI Monitor Touch Screen for Raspberry Pi Display, Support for Raspbian/Ubuntu/Kodi / Win10 IOT",https://m.media-amazon.com/images/I/413v+cGsEwL._AC_UL320_.jpg,https://www.amazon.com/dp/B0B2QW89DR,5,5,40.99,0,Computer Monitors,FALSE,0
B091XTCQ5H,"NexiGo 12.5 Inch Portable Monitor, Full HD 1080P IPS Computer Display, Stereo Speakers, USB Type-C HDMI Port for PC/PS4/Xbox/Switch, Included Smart Cover, Silver (Renewed)",https://m.media-amazon.com/images/I/71fBC2vMbEL._AC_UL320_.jpg,https://www.amazon.com/dp/B091XTCQ5H,3.5,3,119.99,0,Computer Monitors,FALSE,0
B0C4PL2R5R,Miktver 10.5 inch Portable Monitor,https://m.media-amazon.com/images/I/41bb3Vsr8RL._AC_UL320_.jpg,https://www.amazon.com/dp/B0C4PL2R5R,0,0,89.99,0,Computer Monitors,FALSE,0
